"C_U_21_components"
"Iteration" "df-body etc.."
("Iteration" "df-body" "df-diffuser" "df-front_wheel" "df-front_wing" "df-nose" "df-rear_wheel" "df-rear_wing" "df-sidepod" "df-suspension" "drag-body" "drag-diffuser" "drag-front_wheel" "drag-front_wing" "drag-nose" "drag-rear_wheel" "drag-rear_wing" "drag-sidepod" "drag-suspension" "df-fw-1" "df-fw-2" "df-fw-3" "df-fw-4" "df-fw-e" "df-s-wlot" "df-s-1" "df-s-2" "df-s-e" "df-rw-1" "df-rw-2" "df-rw-3" "df-rw-4" "df-rw-e" "drag-fw-1" "drag-fw-2" "drag-fw-3" "drag-fw-4" "drag-fw-e" "drag-s-wlot" "drag-s-1" "drag-s-2" "drag-s-e" "drag-rw-1" "drag-rw-2" "drag-rw-3" "drag-rw-4" "drag-rw-e")
497 1.895551 46.54564 -1.32971 90.07994 -3.412986 -1.731472 89.19196 50.08821 -0.6566503 18.39865 5.079681 4.759522 10.39364 3.534315 2.17457 35.03881 8.886882 2.995954 51.39593 25.29177 7.713748 2.749533 2.928902 -6.194104 34.39508 1.751566 20.79235 58.34506 25.86974 4.009216 3.520255 -2.552188 -1.861233 5.090157 3.835929 2.212089 1.116689 -5.428398 6.291561 0.9897058 4.038057 4.02278 19.90401 8.549466 2.003554 0.5590286
498 1.896073 46.54733 -1.329496 90.07503 -3.413105 -1.731126 89.18462 50.08784 -0.6566764 18.398 5.080005 4.759325 10.39344 3.53431 2.17401 35.03788 8.887482 2.995881 51.39354 25.29038 7.713582 2.749706 2.927769 -6.193437 34.39442 1.751677 20.79188 58.33981 25.86872 4.009144 3.518653 -2.551576 -1.861097 5.089921 3.8359 2.212211 1.116502 -5.428469 6.291824 0.9898375 4.038407 4.023063 19.90362 8.54918 2.002849 0.5591954
499 1.896798 46.54886 -1.329343 90.07056 -3.413205 -1.730775 89.17821 50.08767 -0.656673 18.39764 5.080303 4.759075 10.39332 3.534301 2.173439 35.03717 8.888069 2.995816 51.39132 25.28914 7.713475 2.749901 2.926655 -6.192811 34.39392 1.751895 20.79136 58.33503 25.86791 4.009146 3.517248 -2.550998 -1.860965 5.089706 3.835897 2.212346 1.116334 -5.428574 6.292112 0.9900549 4.038658 4.023172 19.90341 8.549053 2.002226 0.5593464
500 1.897714 46.5502 -1.329252 90.06662 -3.413284 -1.730424 89.17277 50.08776 -0.6566645 18.39719 5.080573 4.75878 10.39328 3.534291 2.172875 35.03677 8.888606 2.995764 51.38934 25.28809 7.71343 2.750113 2.92558 -6.192214 34.39362 1.752223 20.79083 58.33079 25.86737 4.009228 3.515983 -2.550489 -1.860841 5.089521 3.835919 2.212488 1.116188 -5.428732 6.292408 0.9903565 4.038807 4.023228 19.9034 8.549079 2.001627 0.5594651
501 1.898792 46.55135 -1.32922 90.06326 -3.413348 -1.730082 89.16814 50.08809 -0.6566726 18.3965 5.080816 4.758445 10.39331 3.534282 2.172341 35.03665 8.889062 2.995733 51.38762 25.28723 7.713444 2.750335 2.92456 -6.191641 34.39348 1.75265 20.7903 58.32702 25.86713 4.009384 3.514724 -2.549999 -1.860728 5.089365 3.835964 2.212635 1.116064 -5.428946 6.292686 0.990734 4.038853 4.023304 19.90359 8.549228 2.000995 0.5595707
502 1.900103 46.55233 -1.329244 90.06047 -3.413399 -1.729754 89.16415 50.08862 -0.6567122 18.39584 5.081032 4.75808 10.39339 3.534278 2.171839 35.03668 8.889407 2.99572 51.38617 25.28656 7.713511 2.75056 2.92361 -6.191087 34.3935 1.753165 20.78979 58.32358 25.86714 4.009596 3.513438 -2.549474 -1.860628 5.089239 3.836029 2.21278 1.115965 -5.429212 6.292923 0.9911776 4.038795 4.02333 19.90391 8.549451 2.000338 0.5596862
503 1.901714 46.55318 -1.329318 90.05826 -3.413439 -1.729444 89.16068 50.08936 -0.6567964 18.39556 5.081216 4.757688 10.39353 3.534275 2.171355 35.03669 8.889612 2.995715 51.38497 25.28607 7.713626 2.750782 2.922741 -6.190543 34.39366 1.753762 20.7893 58.32043 25.86729 4.009845 3.512184 -2.54895 -1.860541 5.089146 3.836112 2.212923 1.115889 -5.429531 6.293108 0.9916801 4.038637 4.023213 19.90431 8.549711 1.999685 0.5598003
504 1.903489 46.55391 -1.329435 90.05659 -3.413465 -1.729154 89.15764 50.0903 -0.6569331 18.39554 5.081373 4.757267 10.39373 3.534274 2.170877 35.03657 8.889645 2.995709 51.38403 25.28576 7.713785 2.751 2.921959 -6.189996 34.39394 1.754436 20.78888 58.31762 25.86753 4.01012 3.510978 -2.548503 -1.860467 5.089085 3.83621 2.213061 1.115836 -5.429917 6.293231 0.9922348 4.038384 4.022969 19.90474 8.549987 1.99902 0.5598826
505 1.905272 46.5545 -1.329581 90.05545 -3.413475 -1.728888 89.15495 50.09136 -0.6571156 18.39544 5.081501 4.756814 10.39397 3.534273 2.170421 35.03637 8.889472 2.995702 51.38332 25.28561 7.713983 2.75121 2.921269 -6.189451 34.39427 1.755174 20.7885 58.31518 25.86786 4.010411 3.509745 -2.548137 -1.860405 5.089055 3.836323 2.213193 1.115803 -5.430373 6.293272 0.992828 4.038038 4.022705 19.9052 8.550267 1.998296 0.5599298
506 1.907068 46.55492 -1.329743 90.0548 -3.413471 -1.72865 89.15251 50.09242 -0.6573277 18.39513 5.081601 4.756331 10.39426 3.534273 2.170003 35.03612 8.889062 2.995697 51.38283 25.28561 7.714213 2.751413 2.920674 -6.188922 34.39458 1.755951 20.78816 58.31305 25.86826 4.010708 3.508389 -2.547803 -1.860355 5.089056 3.836448 2.213318 1.11579 -5.430897 6.293214 0.9934414 4.037601 4.022475 19.90568 8.550539 1.997491 0.559965
507 1.908883 46.55523 -1.329911 90.0546 -3.413458 -1.728444 89.1502 50.0934 -0.6575522 18.39487 5.081678 4.755825 10.39458 3.534273 2.169621 35.0358 8.888381 2.995692 51.38255 25.28573 7.714469 2.751607 2.92017 -6.188414 34.3948 1.756748 20.78784 58.3112 25.86871 4.011 3.506897 -2.547499 -1.860317 5.089086 3.836581 2.213437 1.115792 -5.431503 6.293052 0.9940596 4.037075 4.022261 19.90616 8.550784 1.996622 0.5599947
508 1.910614 46.55547 -1.330074 90.05476 -3.413439 -1.728274 89.14794 50.09426 -0.6577778 18.39483 5.081738 4.7553 10.39494 3.534274 2.16927 35.03534 8.887411 2.995681 51.38244 25.28597 7.714742 2.751793 2.919757 -6.187915 34.3949 1.75755 20.78753 58.30961 25.86914 4.011275 3.505293 -2.547274 -1.860288 5.089141 3.836721 2.213548 1.115808 -5.432201 6.292789 0.9946715 4.036466 4.022049 19.90662 8.550992 1.995703 0.5600027
509 1.912013 46.55563 -1.330219 90.05526 -3.413422 -1.72814 89.14577 50.09497 -0.6579973 18.39489 5.081779 4.754772 10.39531 3.534276 2.168955 35.0348 8.88615 2.995665 51.38248 25.28629 7.715023 2.751971 2.919428 -6.187432 34.39486 1.758336 20.78723 58.30836 25.86955 4.011533 3.503579 -2.547152 -1.860267 5.089219 3.836863 2.213653 1.115833 -5.43299 6.292428 0.995263 4.035778 4.021885 19.90706 8.551173 1.994727 0.559979
510 1.913071 46.55574 -1.330341 90.05602 -3.413412 -1.728047 89.14379 50.09543 -0.6582016 18.39486 5.081801 4.754261 10.39569 3.534281 2.168697 35.03432 8.884612 2.99565 51.38265 25.28668 7.715304 2.752141 2.919178 -6.186986 34.39466 1.75907 20.78691 58.30746 25.87001 4.011784 3.501735 -2.547091 -1.860256 5.089316 3.837003 2.213751 1.115866 -5.433853 6.291983 0.9958149 4.035012 4.021843 19.90753 8.55135 1.993688 0.5599396
511 1.913882 46.55585 -1.330436 90.05695 -3.413413 -1.727994 89.14204 50.09559 -0.6583853 18.3948 5.081811 4.753791 10.39606 3.534288 2.168502 35.03402 8.882828 2.995639 51.38292 25.28711 7.715576 2.752299 2.918998 -6.186601 34.39433 1.759716 20.78655 58.30687 25.87055 4.012036 3.499736 -2.547051 -1.860252 5.089426 3.837139 2.213841 1.115902 -5.434771 6.291464 0.9963109 4.03418 4.021932 19.90807 8.551545 1.992598 0.5599045
512 1.914498 46.556 -1.330504 90.05799 -3.413423 -1.727982 89.14047 50.09548 -0.6585505 18.39486 5.081812 4.753386 10.39643 3.534295 2.16837 35.03389 8.880832 2.995629 51.38324 25.28753 7.715832 2.752446 2.91888 -6.186279 34.39391 1.760252 20.78617 58.30651 25.87119 4.012296 3.497614 -2.547041 -1.860256 5.089543 3.837267 2.213923 1.115942 -5.435722 6.290883 0.9967445 4.033292 4.022127 19.90867 8.551766 1.991484 0.5598725
513 1.914851 46.55617 -1.330543 90.05904 -3.413434 -1.728008 89.13894 50.09516 -0.6587081 18.39503 5.0818 4.753065 10.39677 3.534302 2.168295 35.0339 8.87867 2.995623 51.38359 25.28794 7.716065 2.752578 2.918815 -6.186009 34.39344 1.760676 20.78577 58.30627 25.87187 4.012565 3.495406 -2.547069 -1.860265 5.089663 3.837386 2.213996 1.115982 -5.436679 6.290241 0.9971164 4.032364 4.022408 19.90931 8.552012 1.990357 0.5598378
514 1.91499 46.55635 -1.330557 90.06005 -3.41343 -1.728062 89.13739 50.09462 -0.658871 18.39511 5.08177 4.752844 10.39708 3.534306 2.168288 35.03404 8.87639 2.995625 51.38394 25.2883 7.71627 2.752696 2.918793 -6.185797 34.39294 1.760988 20.78538 58.30604 25.87259 4.01284 3.493119 -2.547091 -1.860277 5.08978 3.837494 2.214059 1.116022 -5.437601 6.289528 0.9974251 4.031407 4.02278 19.90997 8.552283 1.989216 0.5598134
515 1.915066 46.55653 -1.330547 90.06094 -3.413392 -1.728139 89.13584 50.09385 -0.659048 18.39496 5.081732 4.752735 10.39737 3.534306 2.168346 35.03434 8.874045 2.995641 51.38424 25.2886 7.716447 2.752795 2.918805 -6.185649 34.3924 1.761194 20.78497 58.30576 25.87337 4.013125 3.490763 -2.547061 -1.86029 5.089893 3.83759 2.214112 1.116062 -5.438449 6.288742 0.9976699 4.030437 4.023232 19.91066 8.552583 1.988073 0.5598158
516 1.915051 46.55672 -1.330519 90.06165 -3.413306 -1.728227 89.13434 50.09284 -0.6592456 18.3947 5.081686 4.752743 10.39763 3.5343 2.168451 35.03481 8.87169 2.99567 51.38446 25.28882 7.716596 2.752877 2.918844 -6.185562 34.39181 1.761309 20.78455 58.30543 25.87419 4.013422 3.488369 -2.546971 -1.8603 5.089999 3.837674 2.214154 1.1161 -5.439195 6.287883 0.9978576 4.029468 4.023719 19.91139 8.552921 1.986949 0.5598469
517 1.914867 46.55692 -1.330477 90.06216 -3.413173 -1.728318 89.13293 50.09162 -0.6594691 18.39455 5.081626 4.752857 10.39786 3.534288 2.168583 35.03539 8.869386 2.995708 51.38459 25.28896 7.716722 2.752941 2.9189 -6.185513 34.39116 1.761356 20.78411 58.3051 25.87506 4.013736 3.485979 -2.54684 -1.860304 5.090094 3.837745 2.214186 1.116137 -5.439816 6.286969 0.9979993 4.02852 4.024191 19.91215 8.553315 1.985854 0.5598942
518 1.914548 46.55716 -1.330423 90.06244 -3.413008 -1.7284 89.13177 50.09018 -0.6597156 18.39448 5.081556 4.753068 10.39806 3.534271 2.168726 35.03608 8.867206 2.995756 51.38461 25.289 7.716822 2.752987 2.918967 -6.185492 34.39043 1.761353 20.78362 58.30483 25.876 4.014077 3.483606 -2.54665 -1.860302 5.090177 3.837801 2.214207 1.116172 -5.440288 6.286017 0.9981026 4.027612 4.024623 19.91295 8.553783 1.984778 0.5599573
519 1.914296 46.55744 -1.330359 90.06248 -3.412822 -1.728463 89.13094 50.08848 -0.6599762 18.39431 5.081485 4.753361 10.39822 3.534252 2.168871 35.03692 8.865211 2.995814 51.38451 25.28895 7.716898 2.753017 2.91904 -6.185509 34.38961 1.761304 20.78307 58.30467 25.87704 4.014453 3.481248 -2.546368 -1.860293 5.090246 3.837843 2.214218 1.116204 -5.440596 6.285051 0.9981707 4.026765 4.025021 19.91383 8.554334 1.98371 0.5600462
520 1.914095 46.55777 -1.330287 90.06229 -3.412623 -1.728501 89.1305 50.0865 -0.6602409 18.39397 5.081417 4.753718 10.39836 3.534229 2.169002 35.03792 8.863432 2.995879 51.3843 25.28883 7.716954 2.753033 2.919113 -6.185574 34.38866 1.761217 20.78245 58.30459 25.87822 4.014863 3.47892 -2.545994 -1.860276 5.090301 3.837872 2.214221 1.116233 -5.440749 6.284091 0.9982084 4.025997 4.025375 19.91479 8.554959 1.98266 0.5601615
521 1.913884 46.55811 -1.330206 90.06192 -3.41242 -1.728514 89.13032 50.08425 -0.6605013 18.39362 5.081345 4.754116 10.39846 3.534203 2.169103 35.03899 8.861897 2.995943 51.384 25.28864 7.716998 2.753038 2.919184 -6.185671 34.38758 1.761104 20.78175 58.30454 25.87948 4.0153 3.47666 -2.545565 -1.860252 5.090343 3.83789 2.214219 1.116258 -5.440769 6.28316 0.9982251 4.025332 4.025672 19.91578 8.555632 1.981635 0.5602875
522 1.913587 46.55844 -1.330109 90.06141 -3.412232 -1.728502 89.1303 50.08178 -0.6607467 18.39331 5.081274 4.754537 10.39854 3.534178 2.169156 35.03996 8.860649 2.996005 51.38363 25.2884 7.717031 2.753034 2.919251 -6.185783 34.38639 1.760974 20.78097 58.30454 25.88075 4.015748 3.474454 -2.545089 -1.860222 5.090372 3.837899 2.214211 1.11628 -5.440667 6.282286 0.9982289 4.024791 4.025876 19.91675 8.556319 1.980616 0.5604171
523 1.913352 46.55872 -1.329992 90.06078 -3.412076 -1.728469 89.13035 50.07914 -0.6609653 18.39295 5.081209 4.754972 10.3986 3.534158 2.169157 35.04076 8.859715 2.996066 51.38321 25.28812 7.717053 2.753022 2.919311 -6.185911 34.38508 1.760826 20.78012 58.30453 25.88197 4.016193 3.472301 -2.544548 -1.860189 5.090386 3.837897 2.214199 1.116299 -5.440454 6.281484 0.9982227 4.024391 4.025982 19.91766 8.556988 1.979592 0.5605568
524 1.913265 46.55887 -1.329855 90.06008 -3.411964 -1.728421 89.13031 50.07632 -0.6611503 18.39244 5.081146 4.755417 10.39862 3.534143 2.169102 35.04135 8.859097 2.996126 51.38278 25.28782 7.717063 2.753004 2.919364 -6.186064 34.38368 1.760658 20.77921 58.30442 25.88309 4.01662 3.470216 -2.543947 -1.860154 5.090386 3.837886 2.214184 1.116315 -5.440146 6.280759 0.9982101 4.02414 4.025996 19.91849 8.557605 1.978569 0.5607081
525 1.913315 46.55885 -1.3297 90.05936 -3.411901 -1.728369 89.12993 50.07341 -0.6613023 18.39184 5.081081 4.755866 10.39863 3.534134 2.168992 35.04166 8.858788 2.996185 51.38234 25.28752 7.717067 2.752983 2.919409 -6.186238 34.38223 1.760477 20.77826 58.30409 25.88405 4.017011 3.468197 -2.543327 -1.860119 5.090373 3.837869 2.214169 1.11633 -5.439758 6.280111 0.9981984 4.024045 4.025946 19.9192 8.558137 1.977545 0.5608584
526 1.913441 46.55862 -1.329529 90.05869 -3.411887 -1.728318 89.12901 50.07048 -0.6614265 18.3912 5.081016 4.756312 10.39861 3.534131 2.168823 35.04164 8.858779 2.996243 51.38195 25.28723 7.717066 2.752958 2.919446 -6.18642 34.38076 1.760292 20.77729 58.30349 25.88479 4.01735 3.466203 -2.542722 -1.860089 5.090349 3.837847 2.214153 1.116344 -5.4393 6.279533 0.9981938 4.024102 4.025859 19.91975 8.558561 1.976501 0.5609956
527 1.913629 46.55812 -1.329345 90.05807 -3.411919 -1.728273 89.1275 50.06756 -0.6615292 18.39047 5.080948 4.756757 10.39856 3.534133 2.168605 35.0413 8.859052 2.996306 51.38161 25.28695 7.717059 2.752929 2.919477 -6.186615 34.3793 1.760104 20.77632 58.30259 25.8853 4.01763 3.464192 -2.542127 -1.860065 5.090312 3.837819 2.214135 1.116357 -5.438774 6.279012 0.9981973 4.024303 4.025756 19.92014 8.558876 1.975421 0.5611244
528 1.913991 46.55734 -1.329159 90.05755 -3.411985 -1.72824 89.12543 50.06468 -0.6616179 18.38955 5.080873 4.757195 10.39849 3.534139 2.16835 35.04074 8.859569 2.996375 51.38136 25.2867 7.717041 2.752898 2.919502 -6.186832 34.37787 1.759913 20.77537 58.30143 25.88561 4.017855 3.462161 -2.54154 -1.860049 5.090263 3.837786 2.214117 1.116372 -5.43819 6.278535 0.9982088 4.024632 4.025683 19.92043 8.559099 1.974312 0.5612506
529 1.914492 46.55626 -1.328979 90.05715 -3.412066 -1.72822 89.12291 50.06188 -0.6617032 18.38844 5.08079 4.757618 10.3984 3.534147 2.16807 35.04013 8.860279 2.996449 51.3812 25.2865 7.717015 2.752862 2.919524 -6.187075 34.3765 1.759723 20.77445 58.30006 25.8858 4.018037 3.460091 -2.540983 -1.860041 5.090207 3.83775 2.214097 1.116387 -5.437566 6.27809 0.99823 4.025069 4.025679 19.92066 8.559268 1.973178 0.5613723
530 1.91504 46.55486 -1.328813 90.0569 -3.412149 -1.728219 89.12004 50.0592 -0.6617939 18.38727 5.080699 4.758016 10.3983 3.534156 2.167778 35.03955 8.861138 2.99653 51.38115 25.28636 7.716983 2.752825 2.919544 -6.187335 34.3752 1.759543 20.7736 58.29855 25.88589 4.018188 3.457986 -2.540483 -1.860041 5.090147 3.837712 2.214076 1.116405 -5.436918 6.277665 0.9982628 4.025593 4.025782 19.92087 8.559412 1.972027 0.5614833
531 1.91554 46.5532 -1.328663 90.05682 -3.412233 -1.728237 89.117 50.05665 -0.6618947 18.38613 5.080604 4.758374 10.39819 3.534167 2.167481 35.03904 8.862109 2.996616 51.38119 25.28628 7.716944 2.752787 2.919566 -6.187611 34.37399 1.759372 20.77281 58.29704 25.88591 4.018319 3.455851 -2.540025 -1.860049 5.090084 3.837672 2.214054 1.116424 -5.43625 6.277247 0.9983054 4.026186 4.025962 19.92109 8.559554 1.970869 0.56159
532 1.916119 46.55128 -1.328533 90.05691 -3.412324 -1.728274 89.11391 50.05421 -0.6620075 18.38514 5.080498 4.75868 10.39806 3.534183 2.167185 35.0386 8.863152 2.996707 51.38134 25.28628 7.716892 2.752747 2.919592 -6.18791 34.37285 1.759212 20.77208 58.29558 25.88587 4.018435 3.453731 -2.539606 -1.860065 5.090022 3.837626 2.21403 1.116446 -5.435568 6.276829 0.9983555 4.026823 4.026184 19.92131 8.559702 1.969727 0.561698
533 1.916794 46.54913 -1.328423 90.05717 -3.412425 -1.728326 89.11086 50.05191 -0.6621314 18.38421 5.080383 4.758922 10.39793 3.534202 2.166892 35.03825 8.864227 2.996797 51.3816 25.28636 7.716825 2.752707 2.919626 -6.188227 34.37179 1.759065 20.77142 58.29421 25.88577 4.018538 3.451682 -2.539236 -1.860088 5.089961 3.837574 2.214004 1.116471 -5.43488 6.276408 0.9984133 4.027485 4.026437 19.92154 8.559863 1.968624 0.561805
534 1.917461 46.54678 -1.32833 90.0576 -3.412534 -1.728387 89.10796 50.04971 -0.6622627 18.38316 5.080263 4.759083 10.39778 3.534223 2.166616 35.03807 8.865308 2.996883 51.38195 25.28652 7.716747 2.752668 2.919672 -6.188555 34.37081 1.758934 20.7708 58.29298 25.88563 4.018629 3.449752 -2.538928 -1.860118 5.089906 3.837515 2.213976 1.116499 -5.434196 6.275982 0.9984785 4.028155 4.026762 19.92179 8.560048 1.96758 0.5619065
535 1.917939 46.54428 -1.328244 90.05823 -3.412647 -1.728457 89.10546 50.0476 -0.662394 18.38195 5.080136 4.759156 10.39764 3.534245 2.166359 35.03811 8.866377 2.996965 51.38239 25.28675 7.71666 2.75263 2.919735 -6.188885 34.36988 1.758816 20.7702 58.29208 25.88552 4.018716 3.44792 -2.538671 -1.860154 5.08986 3.837454 2.213947 1.116531 -5.433517 6.275553 0.9985489 4.028822 4.027143 19.92211 8.560285 1.966587 0.5620084
536 1.918222 46.54167 -1.328154 90.05904 -3.412761 -1.72853 89.10366 50.04556 -0.6625153 18.38087 5.080001 4.759139 10.39751 3.53427 2.166121 35.03838 8.867435 2.997043 51.38294 25.28707 7.716573 2.752591 2.919819 -6.189211 34.36899 1.758709 20.76959 58.29166 25.88554 4.018814 3.446193 -2.538441 -1.860196 5.089826 3.837393 2.213917 1.116568 -5.43284 6.275127 0.9986235 4.029476 4.0275 19.92252 8.560606 1.965652 0.5621215
537 1.91847 46.53904 -1.328053 90.06004 -3.412871 -1.728601 89.10271 50.04363 -0.6626183 18.3802 5.079865 4.759034 10.39739 3.534295 2.165894 35.03889 8.868476 2.997113 51.38357 25.28746 7.716489 2.752551 2.919929 -6.189517 34.36817 1.758618 20.76899 58.29174 25.88576 4.018932 3.444624 -2.538255 -1.860242 5.089804 3.837333 2.213884 1.116609 -5.432176 6.274717 0.9987056 4.03011 4.027779 19.92307 8.561029 1.964795 0.5622393
538 1.918679 46.53643 -1.327933 90.06123 -3.412976 -1.728663 89.10261 50.04184 -0.6626989 18.37986 5.079728 4.758849 10.39729 3.53432 2.16568 35.03963 8.869491 2.997177 51.38428 25.28791 7.716413 2.752509 2.920068 -6.189786 34.36741 1.758549 20.76837 58.29232 25.8862 4.019072 3.443262 -2.538132 -1.860292 5.089796 3.837277 2.213851 1.116655 -5.431542 6.274331 0.9987982 4.030722 4.027995 19.92374 8.561543 1.964025 0.5623507
539 1.918735 46.53384 -1.327784 90.06259 -3.413074 -1.728711 89.10342 50.04014 -0.6627564 18.37955 5.079588 4.758597 10.39721 3.534343 2.165482 35.04057 8.870465 2.997238 51.38507 25.28842 7.716347 2.752465 2.92024 -6.190022 34.3667 1.758502 20.76773 58.29339 25.88687 4.019229 3.442109 -2.538074 -1.860345 5.089803 3.837227 2.213816 1.116705 -5.430953 6.273971 0.9988993 4.031305 4.02818 19.92451 8.562122 1.96333 0.5624526
540 1.918674 46.5313 -1.3276 90.0641 -3.41317 -1.728738 89.10508 50.03848 -0.6627917 18.37929 5.079443 4.758299 10.39715 3.534367 2.165295 35.04164 8.871387 2.997302 51.38593 25.28898 7.71629 2.752418 2.920447 -6.190239 34.36602 1.758467 20.76704 58.29493 25.88774 4.019394 3.441163 -2.53805 -1.8604 5.089826 3.837181 2.21378 1.11676 -5.430418 6.27364 0.9990041 4.031855 4.028316 19.92535 8.56273 1.962709 0.5625551
541 1.918707 46.52885 -1.327381 90.06574 -3.41327 -1.728739 89.10738 50.03687 -0.6628109 18.37928 5.079301 4.757974 10.39711 3.534392 2.165113 35.04269 8.872245 2.99737 51.38684 25.28956 7.716237 2.752369 2.920688 -6.190434 34.36537 1.758444 20.7663 58.29676 25.88874 4.019552 3.440477 -2.538057 -1.860459 5.089862 3.837139 2.213743 1.116817 -5.42995 6.273344 0.9991112 4.032365 4.028362 19.92619 8.563317 1.962188 0.5626595
542 1.918806 46.5265 -1.327126 90.06747 -3.41338 -1.728712 89.11021 50.03529 -0.6628241 18.37949 5.079161 4.757639 10.39708 3.534418 2.164931 35.04363 8.873013 2.997443 51.3878 25.29016 7.716186 2.752319 2.920963 -6.190595 34.36475 1.758432 20.76554 58.29884 25.88979 4.019687 3.440099 -2.538116 -1.860521 5.089911 3.837099 2.213706 1.116878 -5.429567 6.273082 0.9992191 4.032831 4.028284 19.92698 8.563841 1.961784 0.562755
543 1.918813 46.52423 -1.326841 90.06924 -3.413499 -1.728652 89.11346 50.03372 -0.6628408 18.37979 5.079018 4.757308 10.39706 3.534444 2.164748 35.04433 8.873673 2.997521 51.38877 25.29076 7.716134 2.752267 2.921268 -6.190722 34.36413 1.758427 20.76473 58.30115 25.89081 4.019783 3.440066 -2.538245 -1.860584 5.089969 3.837061 2.213668 1.11694 -5.429274 6.272851 0.9993235 4.033247 4.02809 19.92767 8.564258 1.961499 0.5628312
544 1.918658 46.52203 -1.326529 90.07103 -3.41362 -1.728561 89.11704 50.03211 -0.6628678 18.38008 5.078873 4.756993 10.39705 3.53447 2.16456 35.04472 8.874221 2.997609 51.38976 25.29134 7.716081 2.752215 2.921602 -6.190827 34.36349 1.758417 20.7639 58.30368 25.89174 4.019824 3.440327 -2.538435 -1.86065 5.090035 3.837026 2.213632 1.117005 -5.429061 6.272645 0.9994169 4.033605 4.027785 19.92822 8.564528 1.96131 0.5628897
545 1.918522 46.51991 -1.326197 90.07281 -3.413733 -1.728437 89.12073 50.03042 -0.6629097 18.38043 5.078732 4.756703 10.39706 3.534492 2.164367 35.04473 8.874646 2.997707 51.39072 25.2919 7.716026 2.752162 2.92196 -6.190921 34.36282 1.758392 20.76305 58.30631 25.89251 4.019798 3.440884 -2.538687 -1.860715 5.090109 3.836994 2.213596 1.117072 -5.428919 6.272458 0.9994929 4.033903 4.027383 19.9286 8.56462 1.961221 0.5629311
546 1.918457 46.51783 -1.325853 90.07451 -3.413821 -1.728284 89.12434 50.02864 -0.6629688 18.38084 5.078597 4.756446 10.39708 3.53451 2.164171 35.04436 8.874953 2.997811 51.39164 25.29242 7.715968 2.752107 2.922342 -6.190998 34.36209 1.758346 20.76218 58.30895 25.89309 4.019695 3.441713 -2.539011 -1.860779 5.090187 3.836965 2.213559 1.117141 -5.428839 6.272288 0.9995475 4.03414 4.026896 19.92878 8.564528 1.961228 0.5629492
547 1.918332 46.51578 -1.325503 90.07613 -3.413866 -1.728107 89.12782 50.02674 -0.6630435 18.38124 5.078465 4.756219 10.39711 3.534521 2.163974 35.04362 8.875153 2.997921 51.39251 25.29289 7.715909 2.75205 2.922744 -6.191056 34.36129 1.758273 20.7613 58.31162 25.89344 4.019515 3.442759 -2.539417 -1.86084 5.090271 3.83694 2.213521 1.117211 -5.428803 6.272133 0.9995762 4.034319 4.026351 19.92878 8.564262 1.961313 0.5629392
548 1.918026 46.51376 -1.325153 90.07765 -3.413854 -1.727916 89.13122 50.02473 -0.6631276 18.38152 5.078341 4.756027 10.39715 3.534525 2.163777 35.04261 8.875277 2.998037 51.39329 25.29331 7.715854 2.751988 2.923167 -6.191109 34.3604 1.75816 20.76043 58.31443 25.89358 4.019265 3.443948 -2.539909 -1.860895 5.090357 3.836918 2.213481 1.117281 -5.42878 6.271994 0.9995741 4.034448 4.025789 19.92864 8.563854 1.961454 0.5629003
549 1.917586 46.51179 -1.32481 90.07903 -3.413793 -1.727718 89.1346 50.02262 -0.6632135 18.3816 5.078233 4.755871 10.39719 3.534523 2.163582 35.04149 8.875358 2.998156 51.39399 25.29367 7.7158 2.751922 2.923607 -6.191173 34.35944 1.758001 20.75959 58.31737 25.8936 4.018962 3.445253 -2.540479 -1.860942 5.090443 3.836898 2.213439 1.117352 -5.428741 6.271866 0.9995385 4.034534 4.02527 19.92842 8.563346 1.961649 0.562836
550 1.917091 46.50998 -1.324521 90.08035 -3.413708 -1.727526 89.13819 50.02066 -0.6633011 18.38159 5.078158 4.755778 10.39724 3.534517 2.16344 35.04048 8.875504 2.998293 51.39465 25.294 7.715742 2.75185 2.924068 -6.191246 34.35855 1.757845 20.75884 58.3205 25.89361 4.01863 3.446679 -2.541131 -1.860986 5.090528 3.836876 2.213393 1.117424 -5.428683 6.271788 0.9994967 4.034606 4.024845 19.92821 8.562772 1.961917 0.5627534
551 1.916396 46.50843 -1.32428 90.08161 -3.413601 -1.727345 89.14196 50.01893 -0.6633862 18.38182 5.078111 4.755683 10.39728 3.534506 2.163345 35.03954 8.875751 2.998445 51.39528 25.29428 7.715678 2.751773 2.924551 -6.19132 34.35778 1.757699 20.75819 58.32381 25.89361 4.018277 3.44822 -2.541867 -1.861027 5.090608 3.836852 2.213344 1.117498 -5.428584 6.271764 0.9994539 4.034669 4.024488 19.92802 8.562152 1.962249 0.5626555
552 1.915604 46.50705 -1.324073 90.08275 -3.413459 -1.727185 89.14568 50.01748 -0.6634637 18.38215 5.078065 4.755562 10.39732 3.534488 2.163255 35.03856 8.876099 2.998596 51.39585 25.29451 7.715613 2.751691 2.92505 -6.191399 34.35714 1.757545 20.75769 58.32718 25.89353 4.017893 3.449826 -2.542674 -1.861062 5.090684 3.836827 2.213293 1.117572 -5.428412 6.271787 0.9993968 4.034728 4.024178 19.92778 8.561487 1.962607 0.5625342
