"C_U_21_components"
"Iteration" "df-body etc.."
("Iteration" "df-body" "df-diffuser" "df-front_wheel" "df-front_wing" "df-nose" "df-rear_wheel" "df-rear_wing" "df-sidepod" "df-suspension" "drag-body" "drag-diffuser" "drag-front_wheel" "drag-front_wing" "drag-nose" "drag-rear_wheel" "drag-rear_wing" "drag-sidepod" "drag-suspension" "df-fw-1" "df-fw-2" "df-fw-3" "df-fw-4" "df-fw-e" "df-s-wlot" "df-s-1" "df-s-2" "df-s-e" "df-rw-1" "df-rw-2" "df-rw-3" "df-rw-4" "df-rw-e" "drag-fw-1" "drag-fw-2" "drag-fw-3" "drag-fw-4" "drag-fw-e" "drag-s-wlot" "drag-s-1" "drag-s-2" "drag-s-e" "drag-rw-1" "drag-rw-2" "drag-rw-3" "drag-rw-4" "drag-rw-e")
24 -2.569484 37.23986 -2.341383 76.1613 -3.461277 -1.524128 91.05518 37.88491 -1.279303 37.762 8.89102 9.751925 18.1162 5.047521 7.84019 48.7088 22.00289 4.371046 41.53833 23.16052 6.978606 2.610365 1.873478 -5.467631 27.63692 2.809776 14.18515 58.43898 24.75704 3.800143 8.371797 -4.312786 1.648245 6.65345 4.537328 2.718633 2.55855 0.425636 7.287855 2.116162 7.80219 7.401007 20.26477 10.01173 4.873805 6.157506
25 -2.745237 36.91243 -2.320776 76.27238 -3.465502 -1.548741 90.90486 37.44936 -1.259931 37.02499 8.668977 9.56547 17.80038 4.986406 7.591698 48.15302 21.44924 4.314422 41.6664 23.15512 6.969435 2.609717 1.871716 -5.500935 27.36365 2.785952 14.06062 58.46298 24.83616 3.803798 8.112085 -4.310162 1.537203 6.58191 4.495119 2.694538 2.491608 0.196018 7.146807 2.086689 7.705301 7.279617 20.25826 9.976764 4.717923 5.92047
26 -2.892587 36.6134 -2.296986 76.3513 -3.468215 -1.573935 90.71468 37.02291 -1.241835 36.33553 8.465897 9.394752 17.50553 4.929329 7.36793 47.62408 20.92109 4.261876 41.76834 23.1456 6.961401 2.607142 1.868817 -5.530959 27.1075 2.758994 13.92921 58.45133 24.90494 3.803485 7.859748 -4.304821 1.435119 6.514776 4.455369 2.670578 2.429685 -0.01927851 7.013198 2.057269 7.608022 7.167943 20.24958 9.935277 4.569305 5.701981
27 -3.016685 36.33883 -2.272176 76.40482 -3.469562 -1.60021 90.4911 36.605 -1.226188 35.69016 8.279472 9.236399 17.22958 4.875751 7.165191 47.11394 20.4163 4.21273 41.84859 23.1333 6.954553 2.603047 1.865338 -5.558862 26.86747 2.729224 13.79335 58.41063 24.95749 3.798984 7.622892 -4.298887 1.34088 6.451849 4.417903 2.646854 2.372092 -0.2226243 6.887072 2.027811 7.511315 7.062595 20.23417 9.886806 4.430717 5.499654
28 -3.123568 36.08535 -2.24706 76.43736 -3.469692 -1.626186 90.24139 36.19779 -1.21341 35.08603 8.10728 9.086344 16.97061 4.82536 6.978467 46.61702 19.93819 4.166401 41.91033 23.11868 6.948853 2.597936 1.861565 -5.585908 26.64467 2.697244 13.6552 58.35306 24.99362 3.790655 7.397541 -4.29348 1.253359 6.392794 4.382601 2.623571 2.318287 -0.4130892 6.769145 1.998253 7.417477 6.962747 20.21116 9.83221 4.299361 5.311555
29 -3.213172 35.85154 -2.22235 76.45078 -3.468737 -1.650181 89.97589 35.80729 -1.202638 34.51838 7.94743 8.941164 16.72716 4.777906 6.805686 46.13448 19.48858 4.122633 41.95568 23.10119 6.94411 2.592448 1.857367 -5.61232 26.44086 2.664001 13.51739 58.28534 25.01572 3.779245 7.183309 -4.287721 1.171617 6.33709 4.349353 2.601085 2.268018 -0.5889637 6.659868 1.968743 7.326303 6.868309 20.18191 9.773031 4.174678 5.136564
30 -3.282929 35.63957 -2.199474 76.44579 -3.466882 -1.670981 89.70341 35.44061 -1.193048 33.98236 7.798485 8.799411 16.49804 4.733103 6.646645 45.6697 19.06586 4.081151 41.9864 23.07984 6.940157 2.587067 1.852317 -5.638258 26.25781 2.630482 13.38363 58.21068 25.028 3.765652 6.979759 -4.280668 1.094921 6.284245 4.318037 2.579729 2.221112 -0.7502791 6.559009 1.93956 7.236418 6.77912 20.14917 9.711086 4.056609 4.973734
31 -3.329915 35.45348 -2.178229 76.42421 -3.464189 -1.688157 89.43361 35.10461 -1.184122 33.47567 7.659079 8.66191 16.2825 4.690695 6.500559 45.22619 18.66836 4.04176 42.00465 23.05417 6.937097 2.582124 1.846167 -5.66371 26.09747 2.597708 13.25727 58.13353 25.03505 3.750777 6.786527 -4.272278 1.022715 6.233973 4.288635 2.559763 2.177413 -0.8984177 6.466541 1.911101 7.147373 6.694908 20.11575 9.648108 3.945557 4.821881
32 -3.353675 35.2949 -2.156318 76.39005 -3.460573 -1.70229 89.17392 34.80124 -1.1753 32.99741 7.528258 8.530718 16.08015 4.650529 6.366788 44.8061 18.29274 4.004461 42.01307 23.02468 6.935425 2.577868 1.839005 -5.688519 25.95947 2.566154 13.13944 58.0565 25.03977 3.735501 6.604833 -4.262675 0.9545596 6.186164 4.261279 2.541368 2.136776 -1.036107 6.382149 1.883599 7.05864 6.61497 20.08334 9.585661 3.842303 4.679843
33 -3.356786 35.16203 -2.133131 76.34709 -3.456074 -1.714091 88.92833 34.5301 -1.165946 32.54567 7.405321 8.40807 15.89055 4.61248 6.245155 44.40971 17.93517 3.969235 42.01373 22.99222 6.935574 2.574382 1.831191 -5.712391 25.84172 2.536137 13.03059 57.9812 25.0436 3.720558 6.435027 -4.25206 0.8901299 6.140699 4.236088 2.524572 2.099059 -1.165748 6.304884 1.857267 6.969533 6.538774 20.0529 9.52494 3.746485 4.546626
