"C_U_21_massflow"
"Iteration" "floor-1 etc.."
("Iteration" "floor-1" "floor-2" "d-in" "d-out" "s-up-out" "s-up-in" "s-center-out" "s-center-in" "s-bottom-out" "s-bottom-in" "s-floor-endplate" "s-floor-out" "s-floor-center" "s-floor-in" "fwheel-up-out" "fwheel-up-center" "fwheel-up-in" "fwheel-center-out" "fwheel-center-center" "fwheel-center-in" "fwheel-bot-out" "fwheel-bot-center" "fwheel-bot-in" "outisde-up-out" "outside-up-center" "outside-up-in" "outside-center-out" "outside-center-center" "outside-center-in" "outside-bot-out" "outside-bot-center" "outside-bot-in" "rwheel-up-out" "rwheel-up-center" "rhweel-up-in" "rwheel-center-out" "rwheel-center-center" "rwheel-center-in" "rwheel-bot-out" "rwheel-bot-center")
970 -0.2625698 -0.2059435 -0.4869981 0.6470852 0.05428917 0.04555139 -0.003819201 0.03313927 0.02668425 0.04982489 0.06750687 -0.0791431 -0.1068142 -0.1799189 -0.174916 -0.1759919 -0.1898991 -0.129832 -0.1488932 -0.1638421 -0.1286091 -0.2129065 -0.200913 -0.1895277 -0.1839919 -0.07753827 -0.197707 -0.209744 -0.1855534 -0.2224051 -0.2239309 -0.2298941 -0.05364038 -0.01737915 -0.02788915 -0.04120352 -0.02113994 -0.0630047 -0.06655005 -0.1067041
971 -0.2625605 -0.2059162 -0.4869718 0.6471107 0.05428491 0.04541716 -0.00365696 0.0330727 0.02667088 0.04991678 0.06760684 -0.07909754 -0.1067593 -0.179888 -0.1749252 -0.1760262 -0.1898972 -0.1298332 -0.1488915 -0.1638093 -0.1286244 -0.2129018 -0.2009112 -0.1895507 -0.1839037 -0.0776266 -0.1976898 -0.2097284 -0.185697 -0.2224047 -0.2239343 -0.2299273 -0.05356552 -0.01736449 -0.02795863 -0.04121632 -0.02109106 -0.06292567 -0.06669265 -0.1065845
972 -0.2625539 -0.2058913 -0.4869527 0.6471537 0.05429001 0.04528895 -0.003511599 0.03299236 0.02665914 0.05000777 0.06770426 -0.07905392 -0.1067098 -0.1798675 -0.1749347 -0.1760576 -0.1898914 -0.1298361 -0.1488894 -0.163768 -0.1286429 -0.2129001 -0.2009078 -0.1895745 -0.1838223 -0.07772173 -0.1976742 -0.2097159 -0.1858363 -0.2224048 -0.2239383 -0.2299575 -0.05349929 -0.01735972 -0.02803021 -0.04123894 -0.02104246 -0.06283938 -0.06684235 -0.1064612
973 -0.2625499 -0.2058694 -0.486942 0.6472154 0.05430344 0.04516903 -0.003378442 0.03289917 0.02664624 0.05009483 0.06779801 -0.07901359 -0.1066676 -0.1798568 -0.1749441 -0.1760858 -0.1898827 -0.1298394 -0.1488868 -0.1637186 -0.1286646 -0.2129015 -0.2009027 -0.1895993 -0.1837485 -0.07782406 -0.1976601 -0.2097064 -0.1859711 -0.2224054 -0.2239429 -0.2299851 -0.05344299 -0.01736802 -0.02810525 -0.04127045 -0.0209938 -0.06274661 -0.06699762 -0.106334
974 -0.2625488 -0.2058508 -0.4869393 0.6472933 0.05432374 0.04505916 -0.003252336 0.03279454 0.02663053 0.05017294 0.06788716 -0.0789778 -0.1066337 -0.179855 -0.1749531 -0.1761101 -0.1898712 -0.1298418 -0.1488838 -0.1636616 -0.1286891 -0.2129058 -0.2008958 -0.1896248 -0.1836829 -0.07793361 -0.1976478 -0.2096999 -0.1861015 -0.2224066 -0.223948 -0.2300102 -0.05339283 -0.0173898 -0.02817817 -0.04130752 -0.020943 -0.06264707 -0.06715652 -0.106203
975 -0.2625508 -0.2058356 -0.4869438 0.6473855 0.05434885 0.04496095 -0.003129927 0.03268098 0.02661083 0.05023781 0.06797101 -0.07894794 -0.106609 -0.1798607 -0.1749613 -0.1761304 -0.1898565 -0.1298423 -0.1488805 -0.1635979 -0.1287164 -0.2129131 -0.2008874 -0.1896511 -0.1836258 -0.07804991 -0.1976372 -0.209696 -0.1862279 -0.2224083 -0.2239535 -0.2300332 -0.05334302 -0.01741974 -0.02824582 -0.04134842 -0.0208906 -0.06254166 -0.06731772 -0.106069
976 -0.2625553 -0.2058239 -0.4869564 0.6474931 0.0543766 0.0448762 -0.003009001 0.03256125 0.02658919 0.05028542 0.06804909 -0.07892504 -0.1065938 -0.1798722 -0.1749685 -0.1761462 -0.1898382 -0.12984 -0.1488771 -0.1635289 -0.1287466 -0.2129232 -0.2008777 -0.1896779 -0.1835771 -0.07817231 -0.1976281 -0.2096944 -0.1863508 -0.2224102 -0.2239592 -0.2300543 -0.0532929 -0.01745332 -0.02831161 -0.04139371 -0.02083803 -0.062431 -0.06748108 -0.1059332
977 -0.2625622 -0.2058156 -0.4869782 0.6476183 0.05440513 0.04480645 -0.00288916 0.03243923 0.02656745 0.05031274 0.06812109 -0.07891004 -0.1065883 -0.1798879 -0.1749745 -0.1761575 -0.1898157 -0.1298344 -0.148874 -0.1634557 -0.1287802 -0.2129363 -0.2008669 -0.1897052 -0.1835363 -0.07829981 -0.1976204 -0.2096947 -0.1864705 -0.2224125 -0.223965 -0.2300736 -0.05324531 -0.01749213 -0.02837971 -0.041443 -0.02078513 -0.06231547 -0.06764594 -0.1057958
978 -0.2625708 -0.2058104 -0.4870085 0.6477587 0.05443239 0.04475245 -0.002771084 0.03231883 0.02654862 0.05031708 0.06818708 -0.07890353 -0.1065924 -0.1799058 -0.1749794 -0.1761644 -0.1897885 -0.1298251 -0.1488714 -0.1633803 -0.1288172 -0.2129522 -0.2008559 -0.1897328 -0.1835027 -0.07843076 -0.197614 -0.2096963 -0.1865874 -0.2224151 -0.2239708 -0.2300914 -0.05319978 -0.01753977 -0.02844636 -0.04149297 -0.02072913 -0.06219531 -0.06781087 -0.1056568
979 -0.2625808 -0.2058078 -0.4870463 0.6479104 0.05445676 0.04471343 -0.002656923 0.03220379 0.02653549 0.05029754 0.06824723 -0.07890525 -0.1066052 -0.1799244 -0.1749832 -0.176167 -0.1897562 -0.129812 -0.1488695 -0.1633045 -0.1288578 -0.2129709 -0.2008449 -0.1897603 -0.183475 -0.07856301 -0.1976086 -0.2096987 -0.1867021 -0.2224178 -0.2239764 -0.2301078 -0.05315096 -0.01759343 -0.0285063 -0.04154063 -0.02066847 -0.06207069 -0.06797405 -0.1055167
980 -0.2625917 -0.2058076 -0.4870915 0.6480734 0.05447738 0.04468787 -0.002549185 0.03209762 0.02653132 0.05025491 0.06830192 -0.07891516 -0.106626 -0.1799423 -0.1749859 -0.1761654 -0.1897188 -0.1297948 -0.1488686 -0.1632311 -0.1289018 -0.2129921 -0.2008346 -0.1897873 -0.1834516 -0.07869428 -0.1976038 -0.2097011 -0.1868147 -0.2224204 -0.2239817 -0.2301225 -0.05309553 -0.01764628 -0.02856035 -0.04158599 -0.02060484 -0.06194236 -0.06813499 -0.1053771
981 -0.262603 -0.2058092 -0.4871449 0.6482493 0.05449379 0.04467363 -0.002450344 0.03200362 0.02653826 0.05019157 0.06835157 -0.07893246 -0.1066534 -0.1799585 -0.1749878 -0.17616 -0.1896769 -0.1297737 -0.1488689 -0.1631626 -0.128949 -0.2130154 -0.2008253 -0.1898138 -0.1834311 -0.07882241 -0.1975993 -0.209703 -0.1869256 -0.222423 -0.2239864 -0.2301356 -0.05303637 -0.01769573 -0.0286137 -0.0416301 -0.02053948 -0.06181057 -0.0682935 -0.1052394
